"id,""hip"",""hd"",""hr"",""gl"",""bf"",""proper"",""ra"",""dec"",""dist"",""pmra"",""pmdec"",""rv"",""mag"",""absmag"",""spect"",""ci"",""x"",""y"",""z"",""vx"",""vy"",""vz"",""rarad"",""decrad"",""pmrarad"",""pmdecrad"",""bayer"",""flam"",""con"",""comp"",""comp_primary"",""base"",""lum"",""var"",""var_min"",""var_max"""
"97338,97649,187642,7557,Gl 768,""53Alp Aql"",Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772105546999,0.15478141706831,0.0000026025768,0.000001869150664,Alp,""53"",Aql,1,97338,"""",11.376272858234303,Alp,0.803,0.753"
"76035,76267,139006,5793,"""",""5Alp CrB"",Alphecca,15.578128,26.714693,23.0097,120.38,-89.44,2.0,2.22,0.41,A0V,0.032,-12.176093,-16.558746,10.343974,0.00000708,-0.00001304,-0.00000799,4.0783442886637005,0.46625935084814374,0.0000005836187087,-0.000000433617355,Alp,""5"",CrB,1,76035,"""",59.70352865838366,Alp,2.289,2.209"
"90979,91262,172167,7001,Gl 721,""3Alp Lyr"",Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563095509031,0.6769031163973025,0.0000009745724607,0.000001393645406,Alp,""3"",Lyr,1,90979,"""",49.93441887213498,"""",,"
"101767,102098,197345,7924,"""",""50Alp Cyg"",Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5.0,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.416768542177067,0.790290982752855,0.0000000075630934,0.000000007514612,Alp,""50"",Cyg,1,101767,"""",51617.86054966733,Alp,1.294,1.224"
"4417,4427,5394,264,"""",""27Gam Cas"",Navi,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.2474379511037043,1.0597070289510324,0.0000001243547091,-0.000000018519882,Gam,""27"",Cas,1,4417,"""",3407.218616593573,Gam,2.173,2.133"
"80519,80763,148478,6134,"""",""21Alp Sco"",Antares,16.490128,-26.432002,169.7793,-10.16,-23.21,-3.0,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466000638,-0.4613254705959812,-0.0000000492570699,-0.000000112525255,Alp,""21"",Sco,1,80519,"""",9453.660459579653,Alp,1.155,0.995"
"65269,65474,116658,5056,"""",""67Alp Vir"",Spica,13.419883,-11.161322,76.5697,-42.5,-31.73,1.0,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,-0.00000454,0.00001516,-0.00001175,3.5133172180991257,-0.194801818024575,-0.0000002060458142,-0.00000015383138,Alp,""67"",Vir,1,65269,"""",2070.1413487910413,Alp,1.001,0.961"
"57459,57632,102647,4534,Gl 448,""94Bet Leo"",Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856965974249,0.2543304303162062,-0.0000024193172287,-0.000000551621005,Bet,""94"",Leo,1,57459,"""",14.682499678319866,"""",,"
"49528,49669,87901,3982,"""",""32Alp Leo"",Regulus,10.139532,11.967207,24.3132,-249.4,4.91,6.0,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.654523172153456,0.20886716528807125,-0.0000012091253193,0.000000023804351,Alp,""32"",Leo,1,49528,"""",147.09570767969763,"""",,"
"36744,36850,60179,2891,Gl 278A,""66Alp Gem"",Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6.0,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.983558270234413,0.5565554130270287,-0.0000010003160671,-0.000000718396911,Alp,""66"",Gem,1,36744,Gl 278,49.43106869868354,"""",,"
